GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core,IoTFleetManagement.user.controller,AdminInvitationController,0,18,0,0,0,6,0,3,0,3
core,IoTFleetManagement.user.controller,AuthController,0,264,3,21,0,62,3,21,0,12
core,IoTFleetManagement.agent.service,AgentService,0,618,1,15,0,140,1,42,0,35
core,IoTFleetManagement.user.model,Role,16,32,0,0,5,12,2,4,2,4
core,IoTFleetManagement.user.model,AdminInvitation,0,51,0,0,0,22,0,13,0,13
core,IoTFleetManagement.user.model,CustomUserDetails,0,38,0,0,0,13,0,9,0,9
core,IoTFleetManagement.user.model,User,0,127,0,0,0,40,0,14,0,14
core,IoTFleetManagement.agent.model,AgentCategory,10,19,0,0,3,5,3,4,3,4
core,IoTFleetManagement.agent.model,Agent,0,99,0,0,0,40,0,27,0,27
core,IoTFleetManagement.agent.controller,AgentController,20,691,6,44,4,168,6,43,0,24
core,IoTFleetManagement.agent.controller,StatusUpdateRequest,9,7,0,0,4,4,2,2,2,2
core,IoTFleetManagement.firmware.model,FirmwareVersion,0,53,0,0,0,17,0,12,0,12
core,IoTFleetManagement.agent.dto,AgentRegistrationRequest,0,17,0,0,0,7,0,5,0,5
core,IoTFleetManagement.common.exceptions,AlreadyExistsException,0,4,0,0,0,2,0,1,0,1
core,IoTFleetManagement.common.util,TokenGenerator,14,5,0,0,4,1,2,1,2,1
core,IoTFleetManagement.firmware.service,FirmwareVersionService,0,34,0,0,0,7,0,6,0,6
core,IoTFleetManagement.firmware.controller,FirmwareVersionController,0,16,0,0,0,4,0,4,0,4
core,IoTFleetManagement.user.service,AdminInvitationService,0,70,0,2,0,15,0,8,0,7
core,IoTFleetManagement.user.service,UserService,0,227,0,14,0,47,0,18,0,11
core,IoTFleetManagement.user.service,CustomUserDetailsService,0,26,0,0,0,6,0,3,0,3
core,IoTFleetManagement.security.config,RestTemplateConfig.new SimpleClientHttpRequestFactory() {...},25,0,2,0,5,0,3,0,2,0
core,IoTFleetManagement.security.config,RoleDBInitializer,55,0,4,0,16,0,5,0,3,0
core,IoTFleetManagement.security.config,SecurityConfig,200,0,0,0,20,0,7,0,7,0
core,IoTFleetManagement.security.config,JwtUtil,30,70,2,2,9,24,2,4,0,4
core,IoTFleetManagement.security.config,RestTemplateConfig,53,0,2,0,12,0,3,0,2,0
core,IoTFleetManagement,IoTApp,8,0,0,0,3,0,2,0,2,0
